tid,data,duration,startTime,endTime
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",575,2021-02-11T08:37:09.526Z,2021-02-11T08:37:10.101Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",462,2021-02-11T08:37:09.709Z,2021-02-11T08:37:10.171Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",496,2021-02-11T08:37:09.682Z,2021-02-11T08:37:10.178Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",575,2021-02-11T08:37:09.642Z,2021-02-11T08:37:10.217Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",341,2021-02-11T08:37:09.914Z,2021-02-11T08:37:10.255Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",423,2021-02-11T08:37:09.833Z,2021-02-11T08:37:10.256Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",291,2021-02-11T08:37:09.965Z,2021-02-11T08:37:10.256Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",239,2021-02-11T08:37:10.023Z,2021-02-11T08:37:10.262Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",251,2021-02-11T08:37:10.012Z,2021-02-11T08:37:10.263Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",742,2021-02-11T08:37:09.613Z,2021-02-11T08:37:10.355Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",817,2021-02-11T08:37:09.559Z,2021-02-11T08:37:10.376Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",210,2021-02-11T08:37:10.196Z,2021-02-11T08:37:10.406Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",1293,2021-02-11T08:37:09.161Z,2021-02-11T08:37:10.454Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",1283,2021-02-11T08:37:09.242Z,2021-02-11T08:37:10.525Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",1330,2021-02-11T08:37:09.255Z,2021-02-11T08:37:10.585Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",1312,2021-02-11T08:37:09.383Z,2021-02-11T08:37:10.695Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",1342,2021-02-11T08:37:09.518Z,2021-02-11T08:37:10.860Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",1281,2021-02-11T08:37:09.667Z,2021-02-11T08:37:10.948Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",1338,2021-02-11T08:37:09.611Z,2021-02-11T08:37:10.949Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",1254,2021-02-11T08:37:10.095Z,2021-02-11T08:37:11.349Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",1235,2021-02-11T08:37:10.184Z,2021-02-11T08:37:11.419Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",3416,2021-02-11T08:37:09.260Z,2021-02-11T08:37:12.676Z
bb33dc22-99fc-4758-a1d0-e0c3fb657c40,"{""userId"":1,""id"":1,""title"":""delectus aut autem"",""completed"":false}",3326,2021-02-11T08:37:09.710Z,2021-02-11T08:37:13.036Z
