rid,data
rid-9tqspq134io,1887
rid-ecf2ve59qag,1937
rid-urrj4l0as68,1938
rid-hubddbh15p,1938
rid-gl7ovkmb9p8,1937
rid-lec04n72nao,1939
rid-q2iq7qamp9o,1980
rid-0hu3fgh888,1981
rid-8jvmcdsof6o,1980
rid-amh1r0d6elg,1982
rid-i46lkqecf9g,1981
rid-k6bg4qsr3c8,1982
rid-bbb4mf7irkg,1983
rid-vv8p2s1ccc8,1983
rid-3k8sg96b69g,1992
rid-phjf0nadm2g,1993
rid-05irspd5hl,1994
rid-52lq3ar3ts8,2005
rid-ep7m9nfb9j,1745
rid-a38nif1ajhg,1863
rid-i1bn16c3hn,1864
rid-bdokoegilfg,1864
rid-51vqvinp1rg,2969
rid-k1q3m4msfho,2969
rid-b6uq69of19,3194
rid-sk2ir8rp4u,2475
rid-mediggd2a5,2476
rid-7dmuag54k88,2477
rid-m4i3t9863lo,2483
rid-0kld19r9vh,2483
rid-ok3jm7hvm18,2484
rid-8brc1u37g08,2485
rid-e0ot18k53g,2496
rid-ci4h3219beo,2497
rid-5bpn12asc7o,2497
rid-ddh55m8mico,2498
rid-pfn81ulu8q,2499
rid-efjg0kcj0fo,2500
rid-73aa39nl6dg,2501
rid-5kd6gcob98,2554
rid-g60llgp4hoo,1661
rid-82henmcg5rg,2539
rid-n6pv9c6q8s,2543
rid-pscpk5ldvr8,2545
rid-iovmuc36a2,1538
rid-ljf3m7liv1o,1536
rid-i00jhmiljq,1539
rid-h0j6k348f8o,1813
rid-o2o70imnn0g,1814
rid-3tcosd1uqlo,1813
rid-jpp78hbg6p8,3278
rid-lpura852n0o,3279
rid-uviq2e5i24g,4291
rid-68cdtkmrf0g,3277
rid-b960s31340g,4292
rid-f76gk8mjfi,4293
rid-3pmafv0ktv8,4293
rid-e4rreh6774g,3569
rid-gsrcr05d3s8,3570
rid-vpt5k7cpjv,3571
rid-9ntcae4qreo,3573
rid-i4ainhqu9s,3572
rid-n4d3n3e214g,3574
rid-cbtk55r0blo,3576
rid-02ibejb85ng,3575
rid-qkin2f708gg,3842
rid-5r3jrgnktrg,3842
rid-ig5r7vb387g,3842
rid-89o9hku8qc,4016
rid-nufleg0cqs8,4016
rid-i4idl3lv6k8,4015
rid-98hft8qm0c8,3005
rid-u1qc1edtcqo,3330
rid-qfppcr9ttao,3331
rid-omu32umtmb8,3331
rid-i7cpsu983,3489
rid-j14krd4vt7o,5703
rid-ms4nff3bto8,3903
rid-qg6euli2vco,3904
rid-nue1s1153oo,3905
rid-li08auj0kto,3910
rid-1gf93b3qen,3913
rid-m685smove9,3914
rid-iuvqidqsnq8,3972
rid-ibskufmgvs,3974
rid-b00v4ms8ulg,7009
rid-dnur98b90a8,3973
rid-7c6l2r1mmlg,3998
rid-bln17ambgqo,7035
rid-g7kj9egdd1,5165
rid-6faso1sdino,6224
rid-2kct216qkv,6283
rid-ojlr046q8fo,6303
rid-pau443avld,6367
