rid,dateTime,data
rid-t2i378nbgj,1613514195734,263
rid-39fd4q9301,1613514195735,258
rid-lm8upfmmt08,1613514195735,261
rid-gc3ikqcgjrg,1613514195735,277
rid-emni1djjs88,1613514195735,260
rid-ri7gsl2evu,1613514195735,265
rid-lqts83pnfi8,1613514195735,278
rid-2ouh1i0jot,1613514195735,266
rid-7l9le2tbns8,1613514195735,265
rid-1bs9kgpdi1o,1613514195735,261
rid-vt77b4eb8o8,1613514196747,234
rid-ccbvqba2q0o,1613514196747,233
rid-imml04v95ko,1613514196747,233
rid-86el6rif198,1613514196747,241
rid-7t30rlncp5,1613514196747,236
rid-qdvremq9lk,1613514196747,255
rid-d68m22qhbd8,1613514196747,254
rid-0h156vapm2,1613514196747,253
rid-65dhpe8g61,1613514196747,254
rid-v6dmf684cmo,1613514196747,248
rid-njakdq1amcg,1613514197749,367
rid-a7uvsab7veg,1613514197749,361
rid-4qhsb5om2ug,1613514197749,356
rid-79v8h6i124,1613514197749,355
rid-4i10ks5ui8o,1613514197749,443
rid-1eiqkali9tg,1613514197749,443
rid-bajttqo0q9,1613514197749,445
rid-3657p48g86,1613514197749,445
rid-rabrucrkf6o,1613514197749,445
rid-e148uplabbo,1613514197749,444
rid-qbj6ps3i2eg,1613514198752,311
rid-sltud3tal3o,1613514198752,311
rid-8jft5pk4gr8,1613514198752,320
rid-2m226q20hu,1613514198752,321
rid-dect0tc42ag,1613514198752,328
rid-1nkjlpv9tn8,1613514198752,329
rid-tknim5lvslo,1613514198752,329
rid-h1milkamiro,1613514198752,328
rid-2i77tosojd,1613514198752,401
rid-u9s85n9n64o,1613514198752,337
rid-ot558grpmpo,1613514199766,283
rid-cmakh8af14g,1613514199766,241
rid-lb49s41fks,1613514199766,249
rid-jgnvh9n4icg,1613514199766,284
rid-17lm0vgo7co,1613514199766,283
rid-ihti80rvtho,1613514199766,284
rid-97k63a7gqpo,1613514199766,284
rid-uaoicni4398,1613514199766,286
rid-6gak27komro,1613514199766,285
rid-135fr76tuc,1613514199766,286
rid-3eai8jkl1l,1613514200778,205
rid-ievta0e01bo,1613514200778,207
rid-aqa17fbt9m,1613514200778,204
rid-klf8lg7abno,1613514200778,206
rid-57jbgmvb2n8,1613514200778,204
rid-12ufc56ng6g,1613514200778,220
rid-5ff74588b7g,1613514200778,205
rid-g759ihag37o,1613514200778,209
rid-931h7hdfbdo,1613514200778,208
rid-j4leh8261lg,1613514200778,207
rid-t760gs2b6u,1613514201792,368
rid-465258mpuho,1613514201792,360
rid-b89ta95b6uo,1613514201792,368
rid-erh0c6nnj2,1613514201792,367
rid-9n0s9gj00co,1613514201792,367
rid-ej43p7unou,1613514201792,373
rid-69jf05mu56g,1613514201792,372
rid-f7ub4vl4nd8,1613514201792,367
rid-d191chsgsfo,1613514201792,373
rid-l55fuse8ks,1613514201792,373
rid-pdkh05736c,1613514202803,251
rid-gcqmfghdec,1613514202803,249
rid-rlt2iaicung,1613514202803,250
rid-j9s9j23fu3g,1613514202803,250
rid-kakg7iqn468,1613514202803,250
rid-63fss40si0g,1613514202803,253
rid-thcptv2u6gg,1613514202803,251
rid-u60rkmgf168,1613514202803,251
rid-53qpsqird0o,1613514202803,252
rid-3t16n33c8o8,1613514202803,254
rid-b11nlnv957,1613514203804,238
rid-rk7tmd0tqfg,1613514203805,237
rid-b763ne81m6,1613514203805,203
rid-hiiqk46c278,1613514203805,237
rid-7icp3kv0qn8,1613514203805,202
rid-02pgeo8up5g,1613514203805,241
rid-oh7svs6ahqg,1613514203805,238
rid-ejfceo24rdo,1613514203805,239
rid-ebk1717igq,1613514203805,239
rid-riio7d96l2g,1613514203805,239
rid-hkd2ghlfrr,1613514204817,242
rid-5fijtt5lffo,1613514204817,243
rid-1io82l4vh4g,1613514204817,245
rid-n3e0efojapg,1613514204817,242
rid-ap2mvh2jctg,1613514204817,247
rid-p2384j1v7f8,1613514204817,246
rid-h2nqkb6o27g,1613514204817,245
rid-hh7jr66cde8,1613514204818,243
rid-be13dfm58qo,1613514204818,243
rid-aupca07v9eg,1613514204818,244
rid-mvpcets4cm,1613514205831,209
rid-ejq66ab84ag,1613514205831,248
rid-ph0hk7kfnuo,1613514205831,249
rid-7gq9u283eig,1613514205831,202
rid-3acc7leqfng,1613514205832,247
rid-0qhv0g0vfu8,1613514205832,249
rid-ftam1hmsna8,1613514205832,247
rid-9kdbkqeo5g8,1613514205832,251
rid-hsjbiumiun,1613514205832,248
rid-t7894lups3o,1613514205832,248
rid-mvvpn8gj0u8,1613514206841,231
rid-liq1bp9mcp8,1613514206841,229
rid-taq07ovv018,1613514206841,230
rid-t66cinopv3,1613514206841,228
rid-cccmhg238uo,1613514206841,230
rid-24aeado20fo,1613514206841,229
rid-u0qre13g0vg,1613514206841,234
rid-4qqb33pb4og,1613514206841,230
rid-skmomjmt5lg,1613514206841,231
rid-nhfodhkavo,1613514206841,234
rid-lfdjvpai7no,1613514207851,212
rid-3st0c4btd6o,1613514207851,211
rid-drc6jd3i2hg,1613514207851,198
rid-p6g3es44o1o,1613514207851,197
rid-48kv62l3vi,1613514207851,212
rid-u4ufodbajc,1613514207851,216
rid-ifkah0frjg8,1613514207851,217
rid-j4qsrtu3a08,1613514207851,217
rid-23er0d01k08,1613514207851,198
rid-dn9nni3mgno,1613514207851,211
rid-0oop1tjupcg,1613514208864,173
rid-d1ajg1rfpm8,1613514208864,188
rid-gg18rl6c4g8,1613514208864,174
rid-ivnh1trhkp8,1613514208864,182
rid-si0gnrmp7oo,1613514208864,174
rid-dl76kf20i58,1613514208864,265
rid-ljqj8ijk4b,1613514208864,264
rid-61t23os27r,1613514208864,263
rid-72imii2kcl8,1613514208864,264
rid-arcftf0fcjg,1613514208865,264
rid-cel4g6tfq6,1613514209874,241
rid-5kgbsc544hg,1613514209874,240
rid-odmma6ufd3o,1613514209874,240
rid-56mij3u11dg,1613514209875,255
rid-kgdp57dnar,1613514209875,206
rid-7kblioa394,1613514209875,251
rid-vbn3thu5edg,1613514209875,261
rid-2ubkf86sgu,1613514209875,256
rid-hgd6lgm6p8o,1613514209875,242
rid-tm5elr0f2j8,1613514209875,255
rid-kh3vb2tehag,1613514210876,197
rid-boke0bubms,1613514210876,254
rid-b45kmhm88u,1613514210876,235
rid-6gao4pjcak8,1613514210876,224
rid-cjr2s4uhkdg,1613514210876,197
rid-hf5frdiiud8,1613514210876,243
rid-26ttbv8esf,1613514210876,248
rid-l7q8kpobrog,1613514210876,244
