rid,dateTime,data
rid-r6c7tm5k06,1613513882033,291
rid-8fl97vrb4i,1613513882034,303
rid-5g9a6r600r,1613513882034,298
rid-tuq9m04p73,1613513882034,284
rid-k6sb9h1tra,1613513882034,297
rid-nirtbpbnn88,1613513883039,262
rid-j8q0e3jmq4,1613513883039,261
rid-r749fvkmljg,1613513883039,264
rid-oe35607loho,1613513883040,260
rid-os8grelvh2g,1613513883040,261
rid-hq92m50atug,1613513884048,251
rid-hslif3ag9e,1613513884049,246
rid-g9cu61u1rr,1613513884049,247
rid-11lb02hgsgo,1613513884049,249
rid-u7phhts03n,1613513884049,252
rid-l3n8h8nen58,1613513885055,321
rid-nm6g7i91fpo,1613513885055,234
rid-mlsnug1lvlg,1613513885055,320
rid-jfhu29hf6fo,1613513885055,235
rid-l1uh23ef6,1613513885056,319
rid-t5lvjdfa43o,1613513886059,246
rid-o0ufq0ikd88,1613513886060,247
rid-q1aq3sg5ceo,1613513886060,254
rid-012dg82r36g,1613513886061,247
rid-c33s2oddk5o,1613513886061,248
rid-okjgmiq88ig,1613513887066,231
rid-dibb34ncabo,1613513887067,238
rid-cpsnb7sh6s,1613513887067,234
rid-vi9sbr7o148,1613513887067,239
rid-vfc99gj4qfo,1613513887067,237
rid-2en40aea4ko,1613513888069,222
rid-m7n2dcph1j,1613513888069,224
rid-lj2g478adc8,1613513888069,221
rid-q45nr620ls8,1613513888069,220
rid-pfnlir2261o,1613513888070,241
rid-2av2045k2d,1613513889076,236
rid-sl138u168d8,1613513889077,239
rid-jtpqlk8vhbo,1613513889077,237
rid-m6kdf5pit,1613513889077,239
rid-2nmo0tjdqjg,1613513889077,240
rid-ljlpk4at7ug,1613513890084,252
rid-96c77o9sd98,1613513890085,256
rid-ecneib5qsjg,1613513890085,255
rid-g0bfuta0u7o,1613513890085,341
rid-1ee47sa8b0g,1613513890085,254
rid-2b9vacli33g,1613513891089,257
rid-ba67p1s7hn,1613513891089,237
rid-gkacn6kmpgg,1613513891090,269
rid-c76pqv5ahc8,1613513891090,242
rid-tjp1042md4,1613513891090,275
rid-teacljam08,1613513892094,225
rid-acqm1a57efo,1613513892094,241
rid-sq0qlf20n4o,1613513892094,226
rid-6jcbq0mobfg,1613513892094,235
rid-3fi7v4rq088,1613513892094,225
rid-11qv8jki8a,1613513893098,307
rid-ju05i613mo8,1613513893099,306
rid-2ek7a25r4s,1613513893099,306
rid-i9raof5thho,1613513893099,266
rid-4p72062k5k,1613513893099,304
rid-91a5f8j12jo,1613513894104,209
rid-jadrvq83vq8,1613513894104,203
rid-e7mk2hi5g28,1613513894104,198
rid-ugd9sfmo59g,1613513894104,220
rid-prt795grq98,1613513894104,204
rid-t6jnv9kf228,1613513895109,358
rid-mf3nua9kps8,1613513895109,364
rid-tah0ioc497g,1613513895109,360
rid-0p2qhfi1sjo,1613513895109,377
rid-80k5umcv27g,1613513895109,378
rid-m78lbrrp098,1613513896124,336
rid-mh30h2ruun8,1613513896124,334
rid-vb1sbvl96jo,1613513896124,337
rid-dt170gsf6i8,1613513896124,334
rid-v2fahmhulto,1613513896124,335
rid-fprljkqniko,1613513897135,260
rid-vgn5ptcfrkg,1613513897135,266
rid-vsaedukr8m8,1613513897135,255
rid-4vvo0icaev,1613513897135,271
rid-od390dqr6no,1613513897135,256
rid-6qp9b90nttg,1613513898145,236
rid-45k1ja9opm8,1613513898146,241
rid-o8kevav4q2,1613513898146,240
rid-ql9n0r17tvo,1613513898146,238
rid-0dfrca288j,1613513898146,235
rid-gio5t9bpsv,1613513899153,228
rid-f4f6fvf3j5,1613513899153,221
rid-qmad0k3l5u,1613513899153,229
rid-8jotfk7mdg8,1613513899154,227
rid-v26ppkuhkvg,1613513899154,239
rid-dveo79q35l,1613513900162,441
rid-hko90d61h7g,1613513900162,440
rid-cq1l626sce8,1613513900162,451
rid-mt9pdee082,1613513900162,452
rid-ap7d63psvjo,1613513900162,442
rid-sqirk3rh3p,1613513901165,247
rid-ikq68itul8,1613513901165,245
rid-rsf9mm8uv7g,1613513901166,247
rid-3kqmpbhvdko,1613513901166,246
rid-v70ggtul7kg,1613513901166,246
rid-j54vhurrrj,1613513902172,231
rid-66g398iht28,1613513902173,195
rid-qrekpv39l6o,1613513902173,232
rid-5fqbf68jf28,1613513902173,230
rid-b52gai6p05g,1613513902173,228
rid-fm7n07jtus,1613513903177,245
rid-mifvi85b7g8,1613513903177,247
rid-42cd3kogf28,1613513903177,244
rid-qb2u93c51jg,1613513903177,246
rid-2of9ni47ls8,1613513903177,252
rid-mdp99rqj2e,1613513904179,637
rid-mru7s9p08so,1613513904179,681
rid-hm28a40kr9g,1613513904179,638
rid-drhd5apkd,1613513904179,623
rid-56n235cg1s,1613513904179,638
rid-g4r0737lkoo,1613513905190,331
rid-8ic7vm002d8,1613513905191,301
rid-eduaurd5cfo,1613513905191,326
rid-4ptf08psero,1613513905191,300
rid-e4nl0i2i9c8,1613513905191,308
rid-fc30gm570s,1613513906199,641
rid-akp7pfhm8d,1613513906199,680
rid-7h8n896a5u8,1613513906200,730
rid-26ngs1j0ul,1613513906200,692
rid-v1od21i419,1613513906200,693
rid-tjhnk2jpkeo,1613513907200,180
rid-luv8atiq908,1613513907200,179
rid-kl18bj1umpg,1613513907201,195
rid-j2s92949568,1613513907201,200
rid-nespm34749o,1613513907201,195
rid-coc4p2hilo8,1613513908213,251
rid-aqo6a5h3n2o,1613513908213,248
rid-i5mg2gsac4o,1613513908214,252
rid-i636pb5mqpg,1613513908214,250
rid-3rfp8f39uc,1613513908214,254
rid-fs6t3o58rmo,1613513909216,199
rid-049p5gc3pv8,1613513909216,241
rid-2t0cpkltc7o,1613513909216,241
rid-4voh8oq4gao,1613513909216,242
rid-p8tqnt8kqog,1613513909216,249
rid-s7uoc63ejqo,1613513910219,211
rid-mhse2frtm88,1613513910219,168
rid-js0nb588e2o,1613513910219,169
rid-dp8c52iigto,1613513910219,185
rid-f604e4d325o,1613513910219,173
rid-d6ghdv7364g,1613513911225,244
rid-dbg15tc2iog,1613513911225,245
rid-bt13he06f88,1613513911226,248
rid-jqmi6lgu4uo,1613513911226,247
rid-o5fjs0b0h9o,1613513911226,247
rid-8vjq8c1b5l8,1613513912238,236
rid-52oq2n0iu1,1613513912238,239
rid-vbg9mardaf,1613513912238,202
rid-3r0cj6936no,1613513912238,237
rid-3m9q7sr70qg,1613513912238,236
rid-jflbecbjn7g,1613513913240,205
rid-o12ah33rvqg,1613513913240,239
rid-dq6t4qi7o1g,1613513913240,207
rid-qviqtsip0r8,1613513913241,206
rid-p74v1oa3k7o,1613513913241,238
rid-l9h32q4so2o,1613513914245,279
rid-p8plmkphap,1613513914245,262
rid-943n4klca3g,1613513914245,261
rid-ein6frpk3r,1613513914245,280
rid-ulpbr4dndn,1613513914245,291
rid-fnohvu2r1ag,1613513915259,326
rid-b3qfn87e7cg,1613513915260,328
rid-2pus4pngd58,1613513915260,331
rid-agl2sda6c5g,1613513915260,325
rid-m26pfpdkmk8,1613513915260,329
rid-mqsjh91tso8,1613513916270,248
rid-n2cbuvao4o8,1613513916270,251
rid-f9b0tq7f3g8,1613513916270,253
rid-a4f7e9t19u8,1613513916270,247
rid-cc81945gu78,1613513916270,254
rid-k1f8q951ts8,1613513917273,242
rid-q87ag8k0k0o,1613513917273,241
rid-c9leg83lt1o,1613513917273,239
rid-7evum5tnspo,1613513917273,240
rid-uir62mm6jk8,1613513917273,240
rid-drju2gus35g,1613513918281,247
rid-9jrbjbaet4,1613513918281,231
rid-vc55nchm4i,1613513918282,230
rid-fvgm741rmi8,1613513918282,236
rid-iigko84kdj8,1613513918282,230
rid-il795v0ti68,1613513919282,244
rid-nslb2vcarrg,1613513919283,245
rid-02fpiqudrl,1613513919283,244
rid-qp3iroi1jkg,1613513919283,243
rid-ugmmshfbccg,1613513919283,245
rid-sc1un0mje98,1613513920283,183
rid-q33e33ugrv,1613513920283,235
rid-qi0avjkbf0g,1613513920283,237
rid-o6dhv2tqkuo,1613513920283,236
rid-ch14holjsgo,1613513920283,201
rid-impgko6k3vo,1613513921283,197
rid-f77f243viq8,1613513921286,195
rid-1tqs7hggjkg,1613513921286,198
rid-cjilc95snt8,1613513921286,200
rid-unb1ef4ddo8,1613513921286,196
rid-ullspi5hhbg,1613513922283,366
rid-pca3b5qjrg,1613513922283,276
rid-lqt1u8cbubg,1613513922283,277
rid-8gcpsgrf1g8,1613513922284,280
rid-s6mn05gt11g,1613513922284,576
rid-14fbqmak0f8,1613513923287,1392
rid-o00mskb5lq,1613513923287,1342
rid-btli2b795ko,1613513923287,1351
rid-su8l5sfmkh8,1613513923287,1391
rid-7h0ae2bl24g,1613513923287,1391
rid-203p35tc2c8,1613513924302,765
rid-pitrrgfp7bo,1613513924302,763
rid-1pqev9chbco,1613513924302,763
rid-oo31s2cib88,1613513924302,765
rid-50frvg6qaj,1613513924302,779
rid-6ug9bcrigro,1613513925316,473
rid-493vcuvhkuo,1613513925316,446
rid-pgsgnctsok,1613513925316,447
rid-3a9anqeo898,1613513925316,399
rid-3rptv45g54o,1613513925316,491
rid-pm7in4usneo,1613513926324,736
rid-ot0h4a3r3t,1613513926324,783
rid-po5nf2cair,1613513926324,830
rid-cdj0dl2opv,1613513926325,831
rid-14ebei7345o,1613513926325,824
rid-ij4orvb62ao,1613513927325,775
rid-phss58qpdmo,1613513927325,774
rid-h7cmj8mi2kg,1613513927325,737
rid-eogm8po3rcg,1613513927325,776
rid-koaf1cup0kg,1613513927325,775
rid-rlln86lt27o,1613513928328,697
rid-kcudbc46r4g,1613513928328,691
rid-c25gkfdp54g,1613513928328,696
rid-jmub9f0m2ng,1613513928328,669
rid-7t60f17nhto,1613513928328,692
rid-m3k3o91hnj8,1613513929340,659
rid-aebfbe352f,1613513929341,658
rid-j12vptjmh6,1613513929341,598
rid-s5ibslbfkmg,1613513929341,657
rid-tj4bqaujgp,1613513929341,659
rid-jkq2e89g8lg,1613513930342,205
rid-rim36ml14c8,1613513930342,204
rid-nmb63u0slbo,1613513930342,196
rid-2ceitp2ej7g,1613513930342,195
rid-1di36iuuaog,1613513930342,210
rid-5kql8qkohfo,1613513931353,203
rid-85f71jgu168,1613513931353,205
rid-i3b3rubqbro,1613513931353,227
rid-qufbo31d6eo,1613513931353,204
rid-f1h9kvike0o,1613513931353,226
rid-dbuuf2g35go,1613513932355,193
rid-mbb1qba8fl,1613513932355,235
rid-3f88ifen75o,1613513932355,200
rid-rnk9dqesljo,1613513932356,233
rid-brbdmcet9u8,1613513932356,234
rid-qsbv5a2jvno,1613513933361,220
rid-06v1i47ut2o,1613513933361,219
rid-se5f4qi6sk,1613513933361,218
rid-gt5h9inv3kg,1613513933363,219
rid-cb8n43119n8,1613513933363,218
rid-jt6ddtddgn,1613513934367,177
rid-h5r21qenuno,1613513934367,190
rid-tnp4jtshd6g,1613513934367,197
rid-nhbobcd7nmg,1613513934367,173
rid-5h311uu7t2,1613513934367,195
rid-8ffuf9ssen8,1613513935368,189
rid-1d455id34i8,1613513935369,224
rid-839rk448apg,1613513935369,189
rid-93mk41nd3o,1613513935369,224
rid-bcf7d9i12lo,1613513935369,225
rid-vtoibm8464g,1613513936372,244
rid-mi0mk8esqqg,1613513936373,204
rid-kqi3vml8lfg,1613513936373,245
rid-q421b1i2ia,1613513936373,245
rid-nt1q34e7c18,1613513936373,243
rid-7uksh8usito,1613513937379,239
rid-fabjjt7q45o,1613513937379,243
rid-dputklk62c,1613513937379,242
rid-bc2fh7us4ag,1613513937379,240
rid-ghpieogk7o,1613513937379,240
rid-a9g066hfcro,1613513938392,246
rid-perfkeqbdao,1613513938392,247
rid-pna55a05pqg,1613513938392,249
rid-prb5f4b9v,1613513938392,246
rid-tjmjfnuucqg,1613513938392,247
rid-8t8k5imkct,1613513939404,227
rid-p31jthnu7go,1613513939404,225
rid-kvtook6jdt,1613513939405,226
rid-iglhbth746g,1613513939405,228
rid-iu5lui5nnp,1613513939405,228
rid-ochfr085dm8,1613513940420,231
rid-j465b6qbn9g,1613513940420,231
rid-062etdqkqso,1613513940420,232
rid-i8q0c5bpsbo,1613513940420,232
rid-ucvupg8ujco,1613513940421,233
rid-893k0hkp6h8,1613513941422,593
rid-2spk2j4ndb,1613513941422,588
rid-guno39dnagg,1613513941422,587
rid-kev0cpi53n,1613513941422,583
rid-m4m0iajr768,1613513941422,594
rid-lrtpuu6j6ag,1613513942433,575
rid-mpromkq04m,1613513942433,564
rid-8nu75en0qno,1613513942434,561
rid-f3k3i5m7e98,1613513942434,561
rid-roc4vhgo6no,1613513942434,564
rid-iquego4pjfo,1613513943434,548
rid-hc5rr1qufig,1613513943435,555
rid-9drphbc1gtg,1613513943435,556
rid-vslskvlf3ro,1613513943435,557
rid-9cacrvkhh9o,1613513943435,554
rid-4mnuq8p1c58,1613513944449,287
rid-jcsjrqo4aj,1613513944449,299
rid-c5qtnfu6l0o,1613513944449,344
rid-ia0k9kcrnto,1613513944449,288
rid-4vs6ja0p3oo,1613513944449,300
rid-db2k0bbg6og,1613513945454,421
rid-vli2alrqhd8,1613513945454,420
rid-dkth3t9kfr,1613513945455,439
rid-eldg3ig8vao,1613513945455,419
rid-btc3l3jg9ko,1613513945455,423
rid-1idqcj9h20o,1613513946466,485
rid-q7iee12ekh,1613513946466,487
rid-0chljf5otjo,1613513946466,484
rid-ueiqsgm4uco,1613513946467,487
rid-3m4hbmgv6io,1613513946467,488
rid-5nq2v1thoo8,1613513947479,226
rid-bqng9nd49lg,1613513947479,227
rid-imssvje5n98,1613513947479,223
rid-dvrs6ie2rfg,1613513947479,222
rid-cv79eeo1pk,1613513947479,227
rid-15sd80k313g,1613513948483,297
rid-f5ch8buuo28,1613513948484,261
rid-832rcoe8ji,1613513948484,300
rid-3oo84jqof6o,1613513948484,299
rid-ttl2qopudhg,1613513948484,298
rid-qsmncj7f8fg,1613513949496,183
rid-2ghj0m68tr,1613513949496,184
rid-g6mj51a658g,1613513949496,194
rid-o66o5a07ikg,1613513949496,183
rid-068fp0r0r48,1613513949497,189
rid-kk3itihkc78,1613513950510,254
rid-2ulr6pjocq8,1613513950510,250
rid-qaogtg1riho,1613513950512,249
rid-tvro0leqnq8,1613513950512,249
rid-5rt3c9rp9h8,1613513950513,248
rid-i9tdd9ne02o,1613513951513,225
rid-6s7bm5os1fg,1613513951513,224
rid-gtvmoh0mkq,1613513951513,225
rid-pddedtimqdo,1613513951513,225
rid-bl76s8mnglg,1613513951513,226
rid-43m9erfgl5,1613513952521,390
rid-0n82ds75ob,1613513952521,388
rid-dhd154mdccg,1613513952521,391
rid-s92nq5suvd8,1613513952521,391
rid-a4oeffivjo8,1613513952521,389
rid-ulkmp31pbs8,1613513953532,468
rid-ojelpg891f,1613513953532,551
rid-b00k1kraq3g,1613513953532,550
rid-4p40qt98noo,1613513953532,549
rid-6i3qd5ctl0o,1613513953532,551
rid-ur4bvi0e7a,1613513954547,341
rid-83mje1a4jq,1613513954547,367
rid-qbqh9id1ho,1613513954547,373
rid-1dgnqcni5u,1613513954547,370
rid-g803ddp8cs,1613513954547,361
rid-u9dqhtjl9v,1613513955551,449
rid-sukh6bv5dbo,1613513955551,509
rid-o7l8fa1gdlg,1613513955551,474
rid-nk6b2dkudl,1613513955551,455
rid-bchasjs99k8,1613513955551,509
rid-6levf9n76uo,1613513956550,196
rid-k6m1n7t6ta,1613513956551,231
rid-dfct3vigtsg,1613513956551,232
rid-4p0ofm38a4o,1613513956551,230
rid-mj42fsl0log,1613513956551,232
rid-t6ks5ti0atg,1613513957553,222
rid-5biaproapr,1613513957553,215
rid-2efnn8d4t0g,1613513957553,236
rid-6vmkk79d0f8,1613513957553,222
rid-n3rbsdkgvd,1613513957554,254
rid-tdejhfmog,1613513958556,237
rid-a5iio1ct0r,1613513958556,238
rid-ejf477ec2h8,1613513958556,236
rid-1kfakkablo8,1613513958556,238
rid-5nh1da25gs,1613513958556,242
rid-pt5pjnredag,1613513959558,317
rid-3n6bvvmagf8,1613513959558,273
rid-dse7aupmego,1613513959558,279
rid-tp2vme9a268,1613513959558,317
rid-jmjncefte78,1613513959558,315
rid-mpl5v2ohqqo,1613513960559,242
rid-18sbkgvb1ho,1613513960560,243
rid-7shji1n30n,1613513960560,244
rid-p29onuog4ho,1613513960560,246
rid-b5d6qnel928,1613513960560,245
rid-rm80165jbm8,1613513961569,269
rid-sssc1hv5rqg,1613513961570,315
rid-7tlgg2s7l9o,1613513961570,358
rid-ah30a61b8fg,1613513961570,315
rid-2c1ihs2s43,1613513961570,352
rid-s1bgijh41o,1613513962578,529
rid-96ematcifao,1613513962578,530
rid-5mvlq27ape,1613513962578,504
rid-5eai17reano,1613513962578,527
rid-ro67fc2c29o,1613513962578,528
rid-093nbrtsm1o,1613513963592,181
rid-cjvoqsb9o88,1613513963592,182
rid-mmebb9i8vjo,1613513963592,196
rid-d058msmjmpo,1613513963592,196
rid-fghuagrbda,1613513963592,272
rid-4al7gr8672g,1613513964606,224
rid-49j4puevvko,1613513964606,222
rid-jtdi2fpe5e,1613513964606,224
rid-96f27qa644g,1613513964606,223
rid-8mgc29mba4,1613513964606,221
rid-8ssr95gek2g,1613513965619,252
rid-s3kc3h73d98,1613513965619,249
rid-1l7rml9t7eg,1613513965619,250
rid-4obk75r0jug,1613513965619,250
rid-aik0tvv1oso,1613513965620,252
rid-t5p92dsrp8g,1613513966622,236
rid-hsj54pfp4ro,1613513966622,239
rid-4099l34cqmg,1613513966622,237
rid-1d76mi7lt1g,1613513966623,238
rid-objurkrm2do,1613513966623,237
rid-2on3rfofnu,1613513967637,242
rid-i7vmh2jdkk,1613513967637,243
rid-sak0hini7hg,1613513967637,246
rid-7s4q165tua8,1613513967637,243
